"id"|"id_registre"|"url"|"orientation"
51799|24956|http://images.cfregisters.org/M119_02_R90/M119_02_R90_374v.jpg|verso
51797|24955|http://images.cfregisters.org/M119_02_R90/M119_02_R90_372v.jpg|verso
51811|24962|http://images.cfregisters.org/M119_02_R90/M119_02_R90_386v.jpg|verso
51803|24958|http://images.cfregisters.org/M119_02_R90/M119_02_R90_378v.jpg|verso
51821|24967|http://images.cfregisters.org/M119_02_R90/M119_02_R90_396v.jpg|verso
51819|24966|http://images.cfregisters.org/M119_02_R90/M119_02_R90_394v.jpg|verso
51823|24968|http://images.cfregisters.org/M119_02_R90/M119_02_R90_398v.jpg|verso
51798|24956|http://images.cfregisters.org/M119_02_R90/M119_02_R90_373r.jpg|recto
51809|24961|http://images.cfregisters.org/M119_02_R90/M119_02_R90_384v.jpg|verso
51829|24971|http://images.cfregisters.org/M119_02_R90/M119_02_R90_404v.jpg|verso
51839|24976|http://images.cfregisters.org/M119_02_R90/M119_02_R90_414v.jpg|verso
51827|24970|http://images.cfregisters.org/M119_02_R90/M119_02_R90_402v.jpg|verso
51835|24974|http://images.cfregisters.org/M119_02_R90/M119_02_R90_410v.jpg|verso
51820|24967|http://images.cfregisters.org/M119_02_R90/M119_02_R90_395r.jpg|recto
51841|24977|http://images.cfregisters.org/M119_02_R90/M119_02_R90_416v.jpg|verso
51843|24978|http://images.cfregisters.org/M119_02_R90/M119_02_R90_418v.jpg|verso
51802|24958|http://images.cfregisters.org/M119_02_R90/M119_02_R90_377r.jpg|recto
51849|24981|http://images.cfregisters.org/M119_02_R90/M119_02_R90_424v.jpg|verso
51847|24980|http://images.cfregisters.org/M119_02_R90/M119_02_R90_422v.jpg|verso
51818|24966|http://images.cfregisters.org/M119_02_R90/M119_02_R90_393r.jpg|recto
51851|24982|http://images.cfregisters.org/M119_02_R90/M119_02_R90_426v.jpg|verso
51853|24983|http://images.cfregisters.org/M119_02_R90/M119_02_R90_428v.jpg|verso
51836|24975|http://images.cfregisters.org/M119_02_R90/M119_02_R90_411r.jpg|recto
51857|24985|http://images.cfregisters.org/M119_02_R90/M119_02_R90_432v.jpg|verso
51869|24991|http://images.cfregisters.org/M119_02_R90/M119_02_R90_444v.jpg|verso
51806|24960|http://images.cfregisters.org/M119_02_R90/M119_02_R90_381r.jpg|recto
51834|24974|http://images.cfregisters.org/M119_02_R90/M119_02_R90_409r.jpg|recto
51840|24977|http://images.cfregisters.org/M119_02_R90/M119_02_R90_415r.jpg|recto
51865|24989|http://images.cfregisters.org/M119_02_R90/M119_02_R90_440v.jpg|verso
51848|24981|http://images.cfregisters.org/M119_02_R90/M119_02_R90_423r.jpg|recto
51873|24993|http://images.cfregisters.org/M119_02_R90/M119_02_R90_448v.jpg|verso
51808|24961|http://images.cfregisters.org/M119_02_R90/M119_02_R90_383r.jpg|recto
51846|24980|http://images.cfregisters.org/M119_02_R90/M119_02_R90_421r.jpg|recto
51863|24988|http://images.cfregisters.org/M119_02_R90/M119_02_R90_438v.jpg|verso
51812|24963|http://images.cfregisters.org/M119_02_R90/M119_02_R90_387r.jpg|recto
51879|24996|http://images.cfregisters.org/M119_02_R90/M119_02_R90_454v.jpg|verso
51852|24983|http://images.cfregisters.org/M119_02_R90/M119_02_R90_427r.jpg|recto
51832|24973|http://images.cfregisters.org/M119_02_R90/M119_02_R90_407r.jpg|recto
51868|24991|http://images.cfregisters.org/M119_02_R90/M119_02_R90_443r.jpg|recto
51850|24982|http://images.cfregisters.org/M119_02_R90/M119_02_R90_425r.jpg|recto
51864|24989|http://images.cfregisters.org/M119_02_R90/M119_02_R90_439r.jpg|recto
51875|24994|http://images.cfregisters.org/M119_02_R90/M119_02_R90_450v.jpg|verso
51866|24990|http://images.cfregisters.org/M119_02_R90/M119_02_R90_441r.jpg|recto
51870|24992|http://images.cfregisters.org/M119_02_R90/M119_02_R90_445r.jpg|recto
51862|24988|http://images.cfregisters.org/M119_02_R90/M119_02_R90_437r.jpg|recto
51878|24996|http://images.cfregisters.org/M119_02_R90/M119_02_R90_453r.jpg|recto
